id,model,precision,recall,f1
spider-dog_kennels-38,Qwen2.5,0.5209,0.3282,0.4237
spider-dog_kennels-39,Qwen2.5,0.5509,0.6235,0.5877
spider-dog_kennels-4,Qwen2.5,0.5138,0.4338,0.4744
spider-dog_kennels-41,Qwen2.5,0.3726,0.4855,0.4294
spider-dog_kennels-7,Qwen2.5,0.4888,0.338,0.4133
spider-dog_kennels-8,Qwen2.5,0.4645,0.3092,0.3867
spider-dog_kennels-9,Qwen2.5,0.4866,0.3731,0.4302
spider-network_1-1,Qwen2.5,0.6157,0.3974,0.5051
spider-network_1-10,Qwen2.5,0.5996,0.5074,0.5538
spider-network_1-11,Qwen2.5,0.3774,0.0001,0.1831
spider-network_1-12,Qwen2.5,0.4873,0.1817,0.3311
spider-network_1-13,Qwen2.5,0.2178,0.052,0.1349
spider-network_1-14,Qwen2.5,0.4341,0.0987,0.2622
spider-network_1-15,Qwen2.5,0.3369,0.3006,0.3198
spider-network_1-17,Qwen2.5,0.7766,0.6015,0.6882
spider-network_1-18,Qwen2.5,0.5758,0.0135,0.2807
spider-network_1-19,Qwen2.5,0.6721,0.6596,0.6664
spider-network_1-2,Qwen2.5,0.4562,0.0404,0.2412
spider-network_1-21,Qwen2.5,0.6411,0.6531,0.6477
spider-network_1-23,Qwen2.5,0.3261,0.4238,0.3755
spider-network_1-24,Qwen2.5,0.6953,0.6551,0.6757
spider-network_1-25,Qwen2.5,0.5684,0.5033,0.5364
spider-network_1-26,Qwen2.5,0.4284,0.0537,0.2355
spider-network_1-27,Qwen2.5,0.6,0.3216,0.4581
spider-network_1-28,Qwen2.5,0.5734,0.4567,0.5152
spider-network_1-3,Qwen2.5,0.6027,0.3952,0.4978
spider-network_1-5,Qwen2.5,0.4513,0.1467,0.2957
spider-network_1-7,Qwen2.5,0.7144,0.7672,0.7411
spider-network_1-8,Qwen2.5,0.6627,0.7031,0.6833
spider-network_1-9,Qwen2.5,0.5234,0.4433,0.4839
spider-pets_1-1,Qwen2.5,0.305,0.1884,0.2473
spider-pets_1-10,Qwen2.5,0.3388,-0.1468,0.0857
spider-pets_1-11,Qwen2.5,0.683,0.7897,0.7363
spider-pets_1-12,Qwen2.5,0.6599,-0.041,0.2872
spider-pets_1-13,Qwen2.5,0.649,0.3318,0.4866
spider-pets_1-14,Qwen2.5,0.4531,0.5101,0.4823
spider-pets_1-15,Qwen2.5,0.6023,0.4931,0.5479
spider-pets_1-16,Qwen2.5,0.6087,0.485,0.5469
spider-pets_1-17,Qwen2.5,0.5939,0.5203,0.5576
spider-pets_1-18,Qwen2.5,0.4318,0.0292,0.224
spider-pets_1-19,Qwen2.5,0.28,0.4624,0.3706
spider-pets_1-2,Qwen2.5,0.3242,0.2059,0.2656
spider-pets_1-20,Qwen2.5,0.4073,0.3819,0.3956
spider-pets_1-21,Qwen2.5,0.4902,0.3735,0.4321
spider-pets_1-3,Qwen2.5,0.6005,0.6372,0.6194
spider-pets_1-4,Qwen2.5,0.358,0.2658,0.3126
spider-pets_1-5,Qwen2.5,0.6061,0.4795,0.5428
spider-pets_1-7,Qwen2.5,0.3357,0.374,0.3558
spider-pets_1-9,Qwen2.5,0.4785,0.3152,0.3966
spider-world_1-10,Qwen2.5,0.2878,0.5084,0.3968
spider-world_1-11,Qwen2.5,0.3324,0.0172,0.1713
spider-world_1-13,Qwen2.5,0.4378,-0.0953,0.1587
spider-world_1-14,Qwen2.5,0.2655,0.0271,0.1449
spider-world_1-15,Qwen2.5,0.4739,0.0023,0.2286
spider-world_1-16,Qwen2.5,0.5136,0.0103,0.251
spider-world_1-17,Qwen2.5,0.5557,0.0052,0.2671
spider-world_1-18,Qwen2.5,0.5032,-0.3148,0.0625
spider-world_1-2,Qwen2.5,0.5199,0.4069,0.4637
spider-world_1-20,Qwen2.5,0.5194,0.4113,0.4657
spider-world_1-21,Qwen2.5,0.4965,0.2469,0.3698
spider-world_1-22,Qwen2.5,0.4781,0.2371,0.3559
spider-world_1-23,Qwen2.5,0.381,-0.0686,0.1477
spider-world_1-24,Qwen2.5,0.4463,0.3099,0.3783
spider-world_1-25,Qwen2.5,0.3204,-0.0012,0.1559
spider-world_1-26,Qwen2.5,0.3238,0.0306,0.1743
spider-world_1-27,Qwen2.5,0.3236,0.0294,0.1736
spider-world_1-28,Qwen2.5,0.3201,0.0385,0.1768
spider-world_1-29,Qwen2.5,0.3201,0.0373,0.1761
spider-world_1-3,Qwen2.5,0.6211,0.4198,0.5194
spider-world_1-32,Qwen2.5,0.6791,0.6614,0.6708
spider-world_1-35,Qwen2.5,0.6849,0.7128,0.6993
spider-world_1-37,Qwen2.5,0.6227,0.5912,0.6075
spider-world_1-38,Qwen2.5,0.6841,0.6642,0.6746
spider-world_1-39,Qwen2.5,0.6226,0.5775,0.6006
spider-world_1-41,Qwen2.5,0.5748,0.4622,0.5187
spider-world_1-42,Qwen2.5,0.5955,-0.1223,0.2129
spider-world_1-43,Qwen2.5,0.4521,0.6264,0.5386
spider-world_1-44,Qwen2.5,0.3626,0.497,0.4299
spider-world_1-45,Qwen2.5,0.5015,0.7024,0.6008
spider-world_1-47,Qwen2.5,0.3416,0.0612,0.1988
spider-world_1-48,Qwen2.5,0.4109,0.3458,0.3792
spider-world_1-49,Qwen2.5,0.4599,0.3855,0.4234
spider-world_1-5,Qwen2.5,0.4204,-0.2334,0.0737
spider-world_1-50,Qwen2.5,0.6319,0.6942,0.6634
spider-world_1-51,Qwen2.5,0.5191,0.3816,0.4504
spider-world_1-52,Qwen2.5,0.6372,0.5631,0.6005
spider-world_1-54,Qwen2.5,0.7046,0.6948,0.7002
spider-world_1-55,Qwen2.5,0.3953,0.2887,0.3425
spider-world_1-56,Qwen2.5,0.6536,0.6166,0.6357
spider-world_1-57,Qwen2.5,0.4957,0.4281,0.4626
spider-world_1-58,Qwen2.5,0.5688,0.6426,0.6061
spider-world_1-59,Qwen2.5,0.2965,0.2163,0.2573
spider-world_1-60,Qwen2.5,0.7796,0.7699,0.7751
spider-world_1-62,Qwen2.5,0.5069,0.4669,0.4877
spider-world_1-63,Qwen2.5,0.6164,0.5248,0.5709
spider-world_1-7,Qwen2.5,0.4602,0.3444,0.4027
wl-c1,Qwen2.5,0.4829,0.3774,0.4305
wl-e1,Qwen2.5,0.5121,0.4504,0.4819
wl-e2,Qwen2.5,0.7513,0.7654,0.7587
wl-e3,Qwen2.5,0.539,0.3785,0.4584
wl-e4,Qwen2.5,0.6969,0.7298,0.7138
wl-e5,Qwen2.5,0.5367,0.1384,0.3311
wl-e6,Qwen2.5,0.3937,0.4353,0.4154
wl-e7,Qwen2.5,0.4294,0.1614,0.2931
wl-h1,Qwen2.5,0.5129,0.4379,0.476
wl-h2,Qwen2.5,0.5358,0.417,0.4766
wl-h3,Qwen2.5,0.535,0.6297,0.5826
wl-m1,Qwen2.5,0.4441,0.0149,0.2218
wl-m2,Qwen2.5,0.5236,0.357,0.4399
wl-m3,Qwen2.5,0.3354,-0.0462,0.1388
wl-m4,Qwen2.5,0.6239,0.3654,0.4924
wl-m5,Qwen2.5,0.7162,0.7928,0.7547
wl-m6,Qwen2.5,0.5348,0.4524,0.4941
